PWS ID,PWS Name,PWS Type,Primary Source,Counties Served,Cities Served,PopulationServed Count,Number of Facilities,Number of Violations,Number of Site Visits
FL6250278,CHARLIE CREEK-THE VILLAGE OF,Community water system,Ground water,Hardee,ZOLFO SPRINGS,138,4,13,34
FL6290279,CHARLIES MHP,Community water system,Ground water,Hillsborough,THONOTOSASSA,218,4,21,41
FL5084082,CHARLOTTE CORRECTIONAL INSTITUTION,Community water system,Ground water,Charlotte,PUNTA GORDA,1594,13,21,33
FL5084100,CHARLOTTE COUNTY UTILITIES,Community water system,Surface water purchased,Charlotte,PORT CHARLOTTE,128967,11,2,29
FL6080318,CHARLOTTE COUNTY UTILITIES / BURNT STORE,Community water system,Ground water,Charlotte,PUNTA GORDA,6300,11,4,29
FL6080044,CHARLOTTE HARBOR WATER ASSN.,Community water system,Ground water,Charlotte,PUNTA GORDA,4500,14,2,34
FL3594214,CHASE GROVES(CONSEC.),Community water system,Ground water purchased,Seminole,SANFORD,3508,1,2,10
FL1200134,"CHATTAHOOCHEE, CITY OF",Community water system,Ground water,Gadsden,CHATTAHOOCHEE,2775,3,14,23
FL6514852,CHELSEA MEADOWS / WATERS EDGE,Community water system,Ground water,Pasco,LAND O' LAKES,120,3,9,36
FL2400185,CHERRY LAKE UTILITIES,Community water system,Ground water,Madison,MADISON,750,3,34,20
FL2380189,CHIEFLAND WTP,Community water system,Ground water,Levy,CHIEFLAND,2031,8,17,34
FL1670135,"CHIPLEY, CITY OF",Community water system,Ground water,Washington,CHIPLEY,4707,8,9,30
FL6530261,CHRISTMAS TREE TP,Community water system,Ground water,Polk,FORT MEADE,60,3,12,39
FL6290298,CHULA VISTA LANDINGS,Community water system,Ground water,Hillsborough,RUSKIN,380,3,17,30
FL3590186,CHULUOTA WATER SYSTEM,Community water system,Ground water,Seminole,CHULUOTA,3863,6,40,31
FL1570140,"CHUMUCKLA WATER SYSTEM, INC.",Community water system,Ground water,Santa Rosa,PACE,3895,7,9,35
FL6292786,CHURCH OF GOD CAMPGROUND,Community water system,Ground water,Hillsborough,WIMAUMA,80,2,15,30
FL6095046,CINNAMON RIDGE UTILITIES #2,Community water system,Ground water,Citrus,LECANTO,25,3,2,22
FL3424827,CITRA HIGHLANDS,Community water system,Ground water,Marion,CITRA,88,2,5,16
FL3351564,CITRUS CIRCLE MOBILE HOME S/D,Community water system,Ground water,Lake,FRUITLAND PARK,88,2,19,16
FL6094948,CITRUS CO UTL/CHARLES A. BLACK,Community water system,Ground water,Citrus,LECANTO,20698,10,8,28
FL6094933,CITRUS CO UTL/WATER OAKS S/D,Community water system,Ground water,Citrus,INVERNESS,148,3,0,23
FL3354053,CITRUS COVE SUBDIVISION,Community water system,Ground water,Lake,WINTER GARDEN,130,2,35,19
FL6295275,CITRUS HILLS RVP,Community water system,Ground water,Hillsborough,DOVER,180,5,4,37
FL6290309,CITRUS KNOLL MHP,Community water system,Ground water,Hillsborough,THONOTOSASSA,52,2,10,34
FL5360048,CITRUS PARK RV RESORT,Community water system,Ground water,Lee,BONITA SPRINGS,3282,4,5,73
FL6090312,CITRUS SPRINGS,Community water system,Ground water,Citrus,DUNNELLON,15675,18,9,27
FL6530320,CITY OF FORT MEADE,Community water system,Ground water,Polk,FORT MEADE,5455,4,11,32
