"PWS ID","PWS Name","PWS Type","Primary Source","Counties Served","Cities Served","PopulationServed Count","Number of Facilities","Number of Violations","Number of Site Visits"
"ME0094735","ROCKY KNOLL COUNTRY CLUB","Transient non-community system","Ground water","Penobscot","ORRINGTON","144","6","33","24"
"ME0003266","ROCKY RIDGE MOTEL","Transient non-community system","Ground water","Waldo","STOCKTON SPRINGS","43","4","7","13"
"ME0011753","ROGUE CAFE","Transient non-community system","Ground water","Hancock","SOUTHWEST HBR","148","4","9","8"
"ME0002963","ROUND TABLE LODGE & COTTAGES","Transient non-community system","Ground water","Cumberland","SEBAGO","35","4","3","4"
"ME0017034","ROUTE 197 DINER","Transient non-community system","Ground water","Kennebec","LITCHFIELD","149","6","8","9"
"ME0092495","ROYS ALLSTEAK HAMBURGERS & GOLF CENTER","Transient non-community system","Ground water","Androscoggin","AUBURN","25","6","1","4"
"ME0019598","RUTH & WIMPYS RESTAURANT INC","Transient non-community system","Ground water","Hancock","HANCOCK","192","4","93","16"
"ME0007039","SACO RIVER RECREATIONAL COUNCIL","Transient non-community system","Ground water","Oxford","FRYEBURG","45","4","14","9"
"ME0091700","SADDLEBACK INC","Transient non-community system","Ground water","Franklin","SANDY RIVER PLT","610","9","6","12"
"ME0092225","SADDLEBACK LAKE LODGE CONDO","Transient non-community system","Ground water","Franklin","DALLAS PLT","88","7","7","16"
"ME0103091","SADULSKYS CAMPS","Transient non-community system","Ground water","Somerset","SMITHFIELD","38","4","16","6"
"ME0094644","SAGADAHOC BAY CAMPGROUND","Transient non-community system","Ground water","Sagadahoc","GEORGETOWN","175","4","3","6"
"ME0094999","SAINT CROIX ISLAND HISTORIC SITE","Transient non-community system","Ground water","Washington","CALAIS","50","5","13","18"
"ME0007383","SALMON FALLS RESORT & GOLF CLUB LLC","Transient non-community system","Ground water","York","HOLLIS","310","8","3","11"
"ME0007725","SALMON FALLS RIVER RV RESORT","Transient non-community system","Ground water","York","LEBANON","500","5","13","23"
"ME0002014","SALMON POINT CAMPGROUND","Transient non-community system","Ground water","Cumberland","BRIDGTON","145","5","14","11"
"ME0002604","SALT WATER FARM CAMPGROUND","Transient non-community system","Ground water","Knox","CUSHING","120","4","4","5"
"ME0006275","SAM-O-SET ASSOCIATION","Transient non-community system","Ground water","Franklin","RANGELEY","48","5","8","7"
"ME0095011","SANCTUARY EAST DAY CARE CENTER","Transient non-community system","Ground water","Kennebec","AUGUSTA","40","3","6","7"
"ME0098234","SANDY COVE ASSOCIATION","Transient non-community system","Ground water","Kennebec","BELGRADE","98","4","16","5"
"ME0003644","SANDY SHORES OWNERS  ASSN","Transient non-community system","Ground water","Knox","WARREN","188","4","1","3"
"ME0002805","SANFORD COUNTRY CLUB","Transient non-community system","Ground water","York","SANFORD","480","5","20","9"
"ME0094932","SAVZ  INC","Transient non-community system","Ground water","Waldo","UNITY","180","4","23","5"
"ME0094844","SCARBOROUGH CROSSING","Transient non-community system","Ground water","Cumberland","SCARBOROUGH","204","4","9","2"
"ME0092501","SCHOODIC WOODS","Transient non-community system","Ground water","Hancock","WINTER HARBOR","264","5","0","2"
"ME0008165","SCOTTS COVE CAMPING AREA","Transient non-community system","Ground water","York","LYMAN","125","5","7","8"
