"PWS ID","PWS Name","PWS Type","Primary Source","Counties Served","Cities Served","PopulationServed Count","Number of Facilities","Number of Violations","Number of Site Visits"
"AZ0413471","SEDONA VIEW RV RESORT","Transient non-community system","Ground water","Yavapai","-","320","4","0","0"
"AZ0404081","SEE CANYON HOMES INC HOA","Transient non-community system","Ground water","Gila","CHRISTOPHER CREEK","100","14","26","13"
"AZ0408189","SETTLIN INN RV PARK","Transient non-community system","Ground water","Mohave","GOLDEN VALLEY","100","6","0","2"
"AZ0404333","SHADOW RIM RANCH","Transient non-community system","Ground water","Gila","PAYSON","130","8","33","16"
"AZ0404107","SHADY HAVEN RV PARK","Transient non-community system","Ground water","Gila","PAYSON","100","4","0","2"
"AZ0413171","SHELL TRAVEL CENTER 23","Transient non-community system","Ground water","Yavapai","CORDES JUNCTION","25","10","3","9"
"AZ0409093","SIERRA SPRINGS RANCH WATER COMPANY","Transient non-community system","Ground water","Navajo","PINETOP","34","5","21","2"
"AZ0413259","SIERRA VERDE RANCH 1","Transient non-community system","Ground water","Yavapai","SELIGMAN","25","8","71","4"
"AZ0411383","SIERRA VISTA ADULT RV RES","Transient non-community system","Ground water","Pinal","CASA GRANDE","100","4","13","13"
"AZ0403379","SKI LIFT LODGE","Transient non-community system","Ground water","Coconino","FLAGSTAFF","60","6","15","11"
"AZ0414096","SKP WATER COMPANY","Transient non-community system","Ground water","Yuma","YUMA","300","4","21","18"
"AZ0404085","SKY RUN RVP","Transient non-community system","Ground water","Gila","STAR VALLEY","50","8","14","6"
"AZ0413396","SKY Y CAMP","Transient non-community system","Ground water","Yavapai","GROOM CREEK","200","6","29","10"
"AZ0404378","SLEEPY HOLLOW RV PARK","Transient non-community system","Ground water","Gila","PUNKIN CENTER","100","5","51","9"
"AZ0412331","SMITHSONIAN INST  II","Transient non-community system","Ground water","Santa Cruz","AMADO","35","4","35","10"
"AZ0415073","SNOWBIRD WEST RV PARK","Transient non-community system","Ground water","La Paz","SALOME","100","4","62","12"
"AZ0410606","SOLDIER CAMP PERMITTEES","Transient non-community system","Ground water","Pima","SUMMERHAVEN","30","13","17","13"
"AZ0413210","SONIC DRIVE IN CHINO VALLEY","Transient non-community system","Ground water","Yavapai","CHINO VALLEY","50","5","1","4"
"AZ0412349","SONOITA CROSSROADS CAFE","Transient non-community system","Ground water","Santa Cruz","SONOITA","50","3","16","7"
"AZ0412029","SONOITA MERCANTILE WATER SYSTEM","Transient non-community system","Ground water","Santa Cruz","SONOITA","125","5","47","13"
"AZ0412342","SONOITA SPRINGS WATER COMPANY","Transient non-community system","Ground water","Santa Cruz","SONOITA","30","3","19","10"
"AZ0410273","SOPORI SCHOOL PARK","Transient non-community system","Ground water","Pima","TUCSON","50","5","17","7"
"AZ0414095","SOUTHERN MESA RV PARK","Transient non-community system","Ground water","Yuma","YUMA","200","5","39","18"
"AZ0408033","SOUTHWEST WATER INC","Transient non-community system","Ground water","Mohave","TOPOCK","300","9","180","14"
"AZ0413357","SPRINGS OF LIVING WATER","Transient non-community system","Ground water","Yavapai","PRESCOTT","250","7","45","7"
"AZ0413232","ST CATHERINE LABOURE CHURCH","Transient non-community system","Ground water","Yavapai","CHINO VALLEY","100","5","0","5"
"AZ0403321","ST JOSEPH YOUTH CAMP, INC","Transient non-community system","Ground water","Coconino","MORMON LAKE","100","5","12","10"
"AZ0407521","STADIUM CHEVRON","Transient non-community system","Ground water","Maricopa","GLENDALE","200","5","25","14"
