"PWS ID","PWS Name","PWS Type","Primary Source","Counties Served","Cities Served","PopulationServed Count","Number of Facilities","Number of Violations","Number of Site Visits"
"NH1333030","EVERGREEN TERRACE","Community water system","Ground water","Strafford","LEE","45","2","7","12"
"NH0802020","EXETER HIGHLANDS","Community water system","Ground water","Rockingham","EXETER","50","2","14","4"
"NH0803020","EXETER RIVER MOBILE HOME PARK","Community water system","Ground water","Rockingham","EXETER","980","4","23","32"
"NH0801010","EXETER WATER DEPT","Community water system","Surface water","Rockingham","EXETER","12,000","9","63","24"
"NH2082020","FAIRFIELD","Community water system","Ground water","Rockingham","SANDOWN","38","1","62","5"
"NH1563020","FAIRHAVEN MOBILE HOME PARK","Community water system","Ground water","Hillsborough","MILFORD","63","3","144","9"
"NH1612030","FAR ECHO HARBOR","Community water system","Ground water","Carroll","MOULTONBOROUGH","213","3","33","8"
"NH0811010","FARMINGTON WATER DEPT","Community water system","Ground water","Strafford","FARMINGTON","3,000","9","13","5"
"NH0272010","FISHERFIELD TOWNHOUSES","Community water system","Ground water","Merrimack","BRADFORD","40","1","9","8"
"NH0821020","FITZWILLIAM VILLAGE/LAUGHNER","Community water system","Ground water","Cheshire","FITZWILLIAM","65","6","11","9"
"NH0821030","FITZWILLIAM VILLAGE/MASSIN","Community water system","Ground water","Cheshire","FITZWILLIAM","53","6","16","5"
"NH0821010","FITZWILLIAM VILLAGE/PRIGGE","Community water system","Ground water","Cheshire","FITZWILLIAM","43","2","25","3"
"NH1402010","FLINTLOCK APTS","Community water system","Ground water","Merrimack","LOUDON","30","1","30","5"
"NH0512060","FOREST EDGE","Community water system","Ground water","Carroll","CONWAY","118","5","10","7"
"NH1932040","FOREST GLEN CONDOS","Community water system","Ground water","Rockingham","PLAISTOW","70","2","30","7"
"NH0512070","FOREST PARK VILLAGE","Community water system","Ground water","Carroll","CONWAY","45","1","7","4"
"NH2302050","FOREST VIEW ESTATES","Community water system","Ground water","Cheshire","SWANZEY","180","2","0","6"
"NH1524010","FORESTVIEW MANOR","Community water system","Ground water","Belknap","MEREDITH","131","2","12","6"
"NH1053010","FOUR SEASONS MOBILE HOME PARK","Community water system","Ground water","Rockingham","HAMPTON","55","2","10","5"
"NH0831010","FRANCESTOWN VILLAGE WATER","Community water system","Ground water","Hillsborough","FRANCESTOWN","150","6","22","9"
"NH1202010","FRANCOEUR APT/HUDSON MOTOR INN","Community water system","Ground water","Hillsborough","HUDSON","58","4","2","5"
"NH0841010","FRANCONIA VILLAGE WATER","Community water system","Ground water","Grafton","FRANCONIA","427","9","39","17"
"NH0851010","FRANKLIN WATER WORKS","Community water system","Ground water","Merrimack","FRANKLIN","7,000","11","74","12"
"NH1403030","FREEDOM HILL/PINE RIDGE EST","Community water system","Ground water","Merrimack","LOUDON","370","8","40","17"
"NH1713010","FREEDOM POND","Community water system","Ground water","Hillsborough","NEW IPSWICH","112","6","60","10"
"NH0862030","FREEDOM VILLAGE CONDOS","Community water system","Ground water","Carroll","FREEDOM","165","3","18","6"
"NH0861010","FREEDOM VILLAGE WATER PRECINCT","Community water system","Ground water","Carroll","FREEDOM","163","5","41","4"
"NH1102020","FRENCH POND ESTATES","Community water system","Ground water","Grafton","HAVERHILL","25","1","10","6"
"NH0613050","FROST RESIDENTS","Community water system","Ground water","Rockingham","DERRY","49","1","29","6"
"NH0993030","FROST TRAILER PARK","Community water system","Ground water","Hillsborough","GREENVILLE","73","3","107","6"
"NH1852130","GARLAND WOODS","Community water system","Ground water","Hillsborough","PELHAM","27","6","0","2"
"NH2271020","GEORGES MILLS WATER WORKS","Community water system","Ground water","Sullivan","SUNAPEE","500","4","3","6"
"NH0882020","GILFORD FOREST ESTATES","Community water system","Ground water","Belknap","GILFORD","113","3","6","6"
"NH0882210","GILFORD MEADOWS","Community water system","Ground water","Belknap","GILFORD","75","3","29","7"
"NH0881010","GILFORD VILLAGE WATER DIST","Community water system","Ground water","Belknap","GILFORD","130","4","31","9"
"NH0612070","GLEN RIDGE DEV","Community water system","Ground water","Rockingham","DERRY","253","4","3","7"
"NH0224010","GLENCLIFF HOME FOR THE ELDERLY","Community water system","Ground water","Grafton","BENTON","230","7","9","12"
"NH2421010","GLENCLIFF IMPROVEMENT","Community water system","Ground water","Grafton","WARREN","50","2","221","7"
"NH2232010","GLENGARRY CONDOS","Community water system","Ground water","Rockingham","STRATHAM","171","4","10","12"
"NH1032090","GLENWOOD NORTH","Community water system","Ground water","Rockingham","HAMPSTEAD","50","1","41","7"
"NH0911010","GOFFSTOWN VILLAGE PCT","Community water system","Surface water","Hillsborough","GOFFSTOWN","3,000","6","9","9"
"NH1932020","GOLDEN HILL","Community water system","Ground water","Rockingham","PLAISTOW","110","3","31","8"
"NH0162350","GOODRICH PROPERTY","Community water system","Ground water","Carroll","BARTLETT","175","2","50","5"
"NH0921020","GORHAM HILL SPRING","Community water system","Ground water","Coos","GORHAM","55","3","24","2"
"NH0921010","GORHAM WATER AND SEWER DEPT","Community water system","Surface water","Coos","GORHAM","2,630","5","38","2"
"NH0872010","GOVERNORS FOREST","Community water system","Ground water","Rockingham","FREMONT","67","3","5","5"
"NH0762050","GOVERNORS GREEN","Community water system","Ground water","Rockingham","EPPING","53","5","8","5"
"NH0072080","GOWING WOODS","Community water system","Ground water","Hillsborough","AMHERST","53","1","5","5"
"NH2002050","GRANDVIEW ESTATES","Community water system","Ground water","Strafford","ROCHESTER","30","3","4","5"
"NH0203070","GRANITE STATE CAMPGROUND","Community water system","Ground water","Belknap","BELMONT","75","4","30","6"
"NH0911020","GRASMERE WATER PCT/MAIN","Community water system","Surface water purchased","Hillsborough","GOFFSTOWN","1,100","1","7","6"
"NH0911030","GRASMERE WP/LANDMARK","Community water system","Surface water purchased","Hillsborough","GOFFSTOWN","90","1","8","4"
"NH0952020","GRAY LEDGES","Community water system","Ground water","Sullivan","GRANTHAM","50","3","16","8"
"NH1732030","GREAT BAY WATER SYSTEM","Community water system","Ground water","Rockingham","NEWMARKET","220","7","136","6"
"NH0153010","GREEN HILLS MHP","Community water system","Ground water","Strafford","BARRINGTON","50","2","47","5"
"NH2533020","GREEN VALLEY MOBILE HOME PARK","Community water system","Ground water","Cheshire","WINCHESTER","127","3","2","6"
"NH0974010","GREENFIELD COMMONS","Community water system","Ground water","Hillsborough","GREENFIELD","48","3","9","6"
"NH1932090","GREENFIELD HILL ESTATES","Community water system","Ground water","Rockingham","PLAISTOW","80","6","25","8"
"NH0993020","GREENVILLE EST VILLAGE DIST","Community water system","Surface water purchased","Hillsborough","GREENVILLE","472","8","18","5"
"NH0991010","GREENVILLE WATER DEPT","Community water system","Surface water","Hillsborough","GREENVILLE","1,100","2","8","12"
"NH1332030","GREYSTONE COMMONS","Community water system","Ground water","Strafford","LEE","25","2","58","6"
"NH1913010","GRIGGS MOBILE HOMES","Community water system","Ground water","Merrimack","PITTSFIELD","73","2","55","5"
"NH1522090","GROUSE POINT CLUB","Community water system","Ground water","Belknap","MEREDITH","203","2","30","6"
"NH1781010","GROVETON WATER SYS","Community water system","Ground water","Coos","NORTHUMBERLAND","2,650","5","33","7"
"NH0881020","GUNSTOCK ACRES VILLAGE DIST","Community water system","Ground water","Belknap","GILFORD","1,440","17","24","12"
"NH0882090","GUNSTOCK GLEN WATER","Community water system","Ground water","Belknap","GILFORD","138","1","145","6"
"NH2542160","HADLEIGH WOODS","Community water system","Ground water","Rockingham","WINDHAM","109","5","27","10"
"NH0153020","HALCYON HILL","Community water system","Ground water","Strafford","BARRINGTON","58","4","150","9"
"NH0512270","HALE ESTATES","Community water system","Ground water","Carroll","CONWAY","103","8","109","12"
"NH1021010","HALES LOCATION","Community water system","Ground water","Carroll","HALES LOCATION","385","3","3","7"
"NH1992040","HAMPSHIRE COURT WATER","Community water system","Ground water","Cheshire","RINDGE","50","5","31","6"
"NH0882410","HAMPSHIRE VILLAGE","Community water system","Ground water","Belknap","GILFORD","40","2","1","5"
"NH1031010","HAMPSTEAD AREA WATER","Community water system","Ground water","Rockingham","HAMPSTEAD","3,181","33","32","9"
"NH1061010","HANCOCK WATER WORKS","Community water system","Surface water","Hillsborough","HANCOCK","413","2","40","6"
"NH1071010","HANOVER WATER DEPT","Community water system","Surface water","Grafton","HANOVER","8,500","4","53","5"
"NH2003030","HANSONVILLE ESTATES","Community water system","Ground water","Strafford","ROCHESTER","405","4","64","6"
"NH1612220","HARBOURSIDE ON WINNIPESAUKEE","Community water system","Ground water","Carroll","MOULTONBOROUGH","40","3","3","5"
"NH2032010","HAWTHORNE VILLAGE","Community water system","Ground water","Grafton","RUMNEY","55","1","162","4"
